No.;Time;;time 1;time 2;delay;;delay 1;delay 2;jitter
11051;52,103877;;52,103877;53,862473;1,758596;;1,614872;0,093449;-1,521423
11059;53,862473;;53,862473;54,006197;0,143724;;0,093449;-0,114545;-0,207994
11060;54,006197;;54,006197;54,056472;0,050275;;-0,114545;0,16482;0,279365
11061;54,056472;;54,056472;54,221292;0,16482;;0,16482;-1,523354;-1,688174
11062;54,221292;;54,221292;54,221292;0;;-1,523354;-0,444453;1,078901
11063;54,221292;;54,221292;55,744646;1,523354;;-0,444453;1,96778;2,412233
11073;55,744646;;55,744646;57,712453;1,967807;;1,96778;-0,059491;-2,027271
11078;57,712453;;57,712453;57,71248;2,7E-05;;-0,059491;0,038534;0,098025
11079;57,71248;;57,71248;57,771998;0,059518;;0,038534;0,020983;-0,017551
11080;57,771998;;57,771998;57,792982;0,020984;;0,020983;1E-06;-0,020982
11081;57,792982;;57,792982;57,792983;1E-06;;1E-06;0;-1E-06
11082;57,792983;;57,792983;57,792983;0;;0;-5,3E-05;-5,3E-05
11083;57,792983;;57,792983;57,792983;0;;-5,3E-05;-0,00072;-0,000667
11084;57,792983;;57,792983;57,793036;5,3E-05;;-0,00072;-0,002222;-0,001502
11087;57,793036;;57,793036;57,793809;0,000773;;-0,002222;0,00291;0,005132
11091;57,793809;;57,793809;57,796804;0,002995;;0,00291;-0,051364;-0,054274
11094;57,796804;;57,796804;57,796889;8,5E-05;;-0,051364;0,03544;0,086804
11095;57,796889;;57,796889;57,848338;0,051449;;0,03544;-0,164473;-0,199913
11103;57,848338;;57,848338;57,864347;0,016009;;-0,164473;0,125216;0,289689
11104;57,864347;;57,864347;58,044829;0,180482;;0,125216;-0,27869;-0,403906
11113;58,044829;;58,044829;58,100095;0,055266;;-0,27869;0,28286;0,56155
11114;58,100095;;58,100095;58,434051;0,333956;;0,28286;-0,316525;-0,599385
11186;58,434051;;58,434051;58,485147;0,051096;;-0,316525;0,100624;0,417149
11206;58,485147;;58,485147;58,852768;0,367621;;0,100624;0,218133;0,117509
11360;58,852768;;58,852768;59,119765;0,266997;;0,218133;-1,37711;-1,595243
11485;59,119765;;59,119765;59,168629;0,048864;;-1,37711;1,425835;2,802945
11512;59,168629;;59,168629;60,594603;1,425974;;1,425835;8,2E-05;-1,425753
12187;60,594603;;60,594603;60,594742;0,000139;;8,2E-05;1,2E-05;-7E-05
12188;60,594742;;60,594742;60,594799;5,7E-05;;1,2E-05;0;-1,2E-05
12189;60,594799;;60,594799;60,594844;4,5E-05;;0;0;0
12190;60,594844;;60,594844;60,594889;4,5E-05;;0;-0,003504;-0,003504
12191;60,594889;;60,594889;60,594934;4,5E-05;;-0,003504;0,003397;0,006901
12192;60,594934;;60,594934;60,598483;0,003549;;0,003397;-0,002403;-0,0058
12193;60,598483;;60,598483;60,598635;0,000152;;-0,002403;-0,062283;-0,05988
12194;60,598635;;60,598635;60,60119;0,002555;;-0,062283;0,064837;0,12712
12195;60,60119;;60,60119;60,666028;0,064838;;0,064837;-0,004721;-0,069558
12223;60,666028;;60,666028;60,666029;1E-06;;-0,004721;0,004699;0,00942
12224;60,666029;;60,666029;60,670751;0,004722;;0,004699;-0,00026;-0,004959
12226;60,670751;;60,670751;60,670774;2,3E-05;;-0,00026;0,000283;0,000543
12227;60,670774;;60,670774;60,671057;0,000283;;0,000283;0;-0,000283
12229;60,671057;;60,671057;60,671057;0;;0;0;0
12230;60,671057;;60,671057;60,671057;0;;0;0;0
12231;60,671057;;60,671057;60,671057;0;;0;-0,000136;-0,000136
12232;60,671057;;60,671057;60,671057;0;;-0,000136;0,000119;0,000255
12233;60,671057;;60,671057;60,671193;0,000136;;0,000119;-0,000217;-0,000336
12234;60,671193;;60,671193;60,67121;1,7E-05;;-0,000217;0,000192;0,000409
12235;60,67121;;60,67121;60,671444;0,000234;;0,000192;-0,005073;-0,005265
12238;60,671444;;60,671444;60,671486;4,2E-05;;-0,005073;0,005114;0,010187
12239;60,671486;;60,671486;60,676601;0,005115;;0,005114;-4,3E-05;-0,005157
12240;60,676601;;60,676601;60,676602;1E-06;;-4,3E-05;-0,00598;-0,005937
12241;60,676602;;60,676602;60,676646;4,4E-05;;-0,00598;0,006023;0,012003
12242;60,676646;;60,676646;60,68267;0,006024;;0,006023;-3,4E-05;-0,006057
12243;60,68267;;60,68267;60,682671;1E-06;;-3,4E-05;-2,5E-05;9E-06
12244;60,682671;;60,682671;60,682706;3,5E-05;;-2,5E-05;3E-06;2,8E-05
12245;60,682706;;60,682706;60,682766;6E-05;;3E-06;3,1E-05;2,8E-05
12246;60,682766;;60,682766;60,682823;5,7E-05;;3,1E-05;-4,2E-05;-7,3E-05
12247;60,682823;;60,682823;60,682849;2,6E-05;;-4,2E-05;-0,005431;-0,005389
12248;60,682849;;60,682849;60,682917;6,8E-05;;-0,005431;0,005479;0,01091
12249;60,682917;;60,682917;60,688416;0,005499;;0,005479;-0,24653;-0,252009
12251;60,688416;;60,688416;60,688436;2E-05;;-0,24653;0,246527;0,493057
12252;60,688436;;60,688436;60,934986;0,24655;;0,246527;-9,3E-05;-0,24662
12356;60,934986;;60,934986;60,935009;2,3E-05;;-9,3E-05;-1,205822;-1,205729
12357;60,935009;;60,935009;60,935125;0,000116;;-1,205822;1,166843;2,372665
12358;60,935125;;60,935125;62,141063;1,205938;;1,166843;-0,162634;-1,329477
12738;62,141063;;62,141063;62,180158;0,039095;;-0,162634;0,201662;0,364296
12755;62,180158;;62,180158;62,381887;0,201729;;0,201662;-0,932744;-1,134406
12822;62,381887;;62,381887;62,381954;6,7E-05;;-0,932744;0,932618;1,865362
12823;62,381954;;62,381954;63,314765;0,932811;;0,932618;9,2E-05;-0,932526
13169;63,314765;;63,314765;63,314958;0,000193;;9,2E-05;-0,118829;-0,118921
13170;63,314958;;63,314958;63,315059;0,000101;;-0,118829;0,118873;0,237702
13171;63,315059;;63,315059;63,433989;0,11893;;0,118873;-0,00161;-0,120483
13206;63,433989;;63,433989;63,434046;5,7E-05;;-0,00161;0,001667;0,003277
13207;63,434046;;63,434046;63,435713;0,001667;;0,001667;-6,5E-05;-0,001732
13208;63,435713;;63,435713;63,435713;0;;-6,5E-05;-1,9E-05;4,6E-05
13209;63,435713;;63,435713;63,435778;6,5E-05;;-1,9E-05;-25,023981;-25,023962
13210;63,435778;;63,435778;63,435862;8,4E-05;;-25,023981;24,955101;49,979082
13211;63,435862;;63,435862;88,459927;25,024065;;24,955101;0,067276;-24,887825
20076;88,459927;;88,459927;88,528891;0,068964;;0,067276;0,00167;-0,065606
20107;88,528891;;88,528891;88,530579;0,001688;;0,00167;-3E-05;-0,0017
20109;88,530579;;88,530579;88,530597;1,8E-05;;-3E-05;-9,735676;-9,735646
20110;88,530597;;88,530597;88,530645;4,8E-05;;-9,735676;9,735576;19,471252
20111;88,530645;;88,530645;98,266369;9,735724;;9,735576;4,2E-05;-9,735534
23118;98,266369;;98,266369;98,266517;0,000148;;4,2E-05;-7E-06;-4,9E-05
23119;98,266517;;98,266517;98,266623;0,000106;;-7E-06;2E-06;9E-06
23120;98,266623;;98,266623;98,266736;0,000113;;2E-06;-7E-06;-9E-06
23121;98,266736;;98,266736;98,266847;0,000111;;-7E-06;-0,051587;-0,05158
23122;98,266847;;98,266847;98,266965;0,000118;;-0,051587;0,051656;0,103243
23123;98,266965;;98,266965;98,31867;0,051705;;0,051656;-0,005845;-0,057501
23130;98,31867;;98,31867;98,318719;4,9E-05;;-0,005845;0,005767;0,011612
23131;98,318719;;98,318719;98,324613;0,005894;;0,005767;-0,00561;-0,011377
23132;98,324613;;98,324613;98,32474;0,000127;;-0,00561;0,005668;0,011278
23133;98,32474;;98,32474;98,330477;0,005737;;0,005668;-0,006315;-0,011983
23134;98,330477;;98,330477;98,330546;6,9E-05;;-0,006315;0,006384;0,012699
23135;98,330546;;98,330546;98,33693;0,006384;;0,006384;-5,4E-05;-0,006438
23136;98,33693;;98,33693;98,33693;0;;-5,4E-05;-3,1E-05;2,3E-05
23137;98,33693;;98,33693;98,336984;5,4E-05;;-3,1E-05;-0,013163;-0,013132
23138;98,336984;;98,336984;98,337069;8,5E-05;;-0,013163;0,013206;0,026369
23139;98,337069;;98,337069;98,350317;0,013248;;0,013206;-4,511415;-4,524621
23140;98,350317;;98,350317;98,350359;4,2E-05;;-4,511415;4,460373;8,971788
23141;98,350359;;98,350359;102,861816;4,511457;;4,460373;0,051032;-4,409341
24598;102,861816;;102,861816;102,9129;0,051084;;0,051032;-0,000169;-0,051201
24614;102,9129;;102,9129;102,912952;5,2E-05;;-0,000169;-0,075534;-0,075365
24615;102,912952;;102,912952;102,913173;0,000221;;-0,075534;-0,417773;-0,342239
24617;102,913173;;102,913173;102,988928;0,075755;;-0,417773;0,493352;0,911125
24644;102,988928;;102,988928;103,482456;0,493528;;0,493352;-0,001621;-0,494973
24784;103,482456;;103,482456;103,482632;0,000176;;-0,001621;-0,043556;-0,041935
24785;103,482632;;103,482632;103,484429;0,001797;;-0,043556;0,037312;0,080868
24787;103,484429;;103,484429;103,529782;0,045353;;0,037312;-1,538298;-1,57561
24802;103,529782;;103,529782;103,537823;0,008041;;-1,538298;1,485641;3,023939
24808;103,537823;;103,537823;105,084162;1,546339;;1,485641;0,060573;-1,425068
25262;105,084162;;105,084162;105,14486;0,060698;;0,060573;-0,000881;-0,061454
25284;105,14486;;105,14486;105,144985;0,000125;;-0,000881;-0,087766;-0,086885
25285;105,144985;;105,144985;105,145991;0,001006;;-0,087766;-0,191382;-0,103616
25289;105,145991;;105,145991;105,234763;0,088772;;-0,191382;0,280154;0,471536
25317;105,234763;;105,234763;105,514917;0,280154;;0,280154;-0,17188;-0,452034
25367;105,514917;;105,514917;105,514917;0;;-0,17188;0,124168;0,296048
25368;105,514917;;105,514917;105,686797;0,17188;;0,124168;-0,743657;-0,867825
25439;105,686797;;105,686797;105,734509;0,047712;;-0,743657;0,535555;1,279212
25450;105,734509;;105,734509;106,525878;0,791369;;0,535555;0,213635;-0,32192
25638;106,525878;;106,525878;106,781692;0,255814;;0,213635;-0,056988;-0,270623
25708;106,781692;;106,781692;106,823871;0,042179;;-0,056988;0,089911;0,146899
25715;106,823871;;106,823871;106,923038;0,099167;;0,089911;-0,153582;-0,243493
25751;106,923038;;106,923038;106,932294;0,009256;;-0,153582;0,024341;0,177923
25756;106,932294;;106,932294;107,095132;0,162838;;0,024341;0,136141;0,1118
